
Begin Step 0, Time: 0, Systemstep: 0

Begin Step 1, Time: 2.38419e-05, Systemstep: 2.38419e-05

Begin Step 2, Time: 4.76837e-05, Systemstep: 2.38419e-05

Begin Step 3, Time: 5.96046e-05, Systemstep: 1.19209e-05

Begin Step 4, Time: 7.15256e-05, Systemstep: 1.19209e-05

Begin Step 5, Time: 8.34465e-05, Systemstep: 1.19209e-05

Begin Step 6, Time: 9.53674e-05, Systemstep: 1.19209e-05

Begin Step 7, Time: 0.000107288, Systemstep: 1.19209e-05

Begin Step 8, Time: 0.000119209, Systemstep: 1.19209e-05

Begin Step 9, Time: 0.00013113, Systemstep: 1.19209e-05

Begin Step 10, Time: 0.000143051, Systemstep: 1.19209e-05

Begin Step 11, Time: 0.000154972, Systemstep: 1.19209e-05

Begin Step 12, Time: 0.000166893, Systemstep: 1.19209e-05

Begin Step 13, Time: 0.000178814, Systemstep: 1.19209e-05

Begin Step 14, Time: 0.000190735, Systemstep: 1.19209e-05

Begin Step 15, Time: 0.000202656, Systemstep: 1.19209e-05

Begin Step 16, Time: 0.000214577, Systemstep: 1.19209e-05

Begin Step 17, Time: 0.000226498, Systemstep: 1.19209e-05

Begin Step 18, Time: 0.000238419, Systemstep: 1.19209e-05

Begin Step 19, Time: 0.00025034, Systemstep: 1.19209e-05

Begin Step 20, Time: 0.00026226, Systemstep: 1.19209e-05

Begin Step 21, Time: 0.000274181, Systemstep: 1.19209e-05

Begin Step 22, Time: 0.000286102, Systemstep: 1.19209e-05

Begin Step 23, Time: 0.000298023, Systemstep: 1.19209e-05

Begin Step 24, Time: 0.000309944, Systemstep: 1.19209e-05

Begin Step 25, Time: 0.000321865, Systemstep: 1.19209e-05

Begin Step 26, Time: 0.000333786, Systemstep: 1.19209e-05

Begin Step 27, Time: 0.000345707, Systemstep: 1.19209e-05

Begin Step 28, Time: 0.000357628, Systemstep: 1.19209e-05

Begin Step 29, Time: 0.00038147, Systemstep: 2.38419e-05

Begin Step 30, Time: 0.000405312, Systemstep: 2.38419e-05

Begin Step 31, Time: 0.000429153, Systemstep: 2.38419e-05

Begin Step 32, Time: 0.000452995, Systemstep: 2.38419e-05

Begin Step 33, Time: 0.000476837, Systemstep: 2.38419e-05

Begin Step 34, Time: 0.000500679, Systemstep: 2.38419e-05

Begin Step 35, Time: 0.000524521, Systemstep: 2.38419e-05

Begin Step 36, Time: 0.000536442, Systemstep: 1.19209e-05

Begin Step 37, Time: 0.000548363, Systemstep: 1.19209e-05

Begin Step 38, Time: 0.000560284, Systemstep: 1.19209e-05

Begin Step 39, Time: 0.000572205, Systemstep: 1.19209e-05

Begin Step 40, Time: 0.000584126, Systemstep: 1.19209e-05

Begin Step 41, Time: 0.000596046, Systemstep: 1.19209e-05

Begin Step 42, Time: 0.000619888, Systemstep: 2.38419e-05

Begin Step 43, Time: 0.00064373, Systemstep: 2.38419e-05

Begin Step 44, Time: 0.000667572, Systemstep: 2.38419e-05

Begin Step 45, Time: 0.000691414, Systemstep: 2.38419e-05

Begin Step 46, Time: 0.000715256, Systemstep: 2.38419e-05

Begin Step 47, Time: 0.000739098, Systemstep: 2.38419e-05

Begin Step 48, Time: 0.000762939, Systemstep: 2.38419e-05

Begin Step 49, Time: 0.000786781, Systemstep: 2.38419e-05

Begin Step 50, Time: 0.000810623, Systemstep: 2.38419e-05

Begin Step 51, Time: 0.000834465, Systemstep: 2.38419e-05

Begin Step 52, Time: 0.000858307, Systemstep: 2.38419e-05

Begin Step 53, Time: 0.000882149, Systemstep: 2.38419e-05

Begin Step 54, Time: 0.000905991, Systemstep: 2.38419e-05

Begin Step 55, Time: 0.000929832, Systemstep: 2.38419e-05

Begin Step 56, Time: 0.000953674, Systemstep: 2.38419e-05

Begin Step 57, Time: 0.000977516, Systemstep: 2.38419e-05

Begin Step 58, Time: 0.00100136, Systemstep: 2.38419e-05

Begin Step 59, Time: 0.0010252, Systemstep: 2.38419e-05

Begin Step 60, Time: 0.00104904, Systemstep: 2.38419e-05

Begin Step 61, Time: 0.00107288, Systemstep: 2.38419e-05

Begin Step 62, Time: 0.00109673, Systemstep: 2.38419e-05

Begin Step 63, Time: 0.00112057, Systemstep: 2.38419e-05

Begin Step 64, Time: 0.00114441, Systemstep: 2.38419e-05

Begin Step 65, Time: 0.00116825, Systemstep: 2.38419e-05

Begin Step 66, Time: 0.00119209, Systemstep: 2.38419e-05

Begin Step 67, Time: 0.00121593, Systemstep: 2.38419e-05

Begin Step 68, Time: 0.00123978, Systemstep: 2.38419e-05

Begin Step 69, Time: 0.00126362, Systemstep: 2.38419e-05

Begin Step 70, Time: 0.00128746, Systemstep: 2.38419e-05

Begin Step 71, Time: 0.0013113, Systemstep: 2.38419e-05

Begin Step 72, Time: 0.00133514, Systemstep: 2.38419e-05

Begin Step 73, Time: 0.00135899, Systemstep: 2.38419e-05

Begin Step 74, Time: 0.00138283, Systemstep: 2.38419e-05

Begin Step 75, Time: 0.00140667, Systemstep: 2.38419e-05

Begin Step 76, Time: 0.00143051, Systemstep: 2.38419e-05

Begin Step 77, Time: 0.0014782, Systemstep: 4.76837e-05

Begin Step 78, Time: 0.00152588, Systemstep: 4.76837e-05

Begin Step 79, Time: 0.00157356, Systemstep: 4.76837e-05

Begin Step 80, Time: 0.00162125, Systemstep: 4.76837e-05

Begin Step 81, Time: 0.00166893, Systemstep: 4.76837e-05

Begin Step 82, Time: 0.00171661, Systemstep: 4.76837e-05

Begin Step 83, Time: 0.0017643, Systemstep: 4.76837e-05

Begin Step 84, Time: 0.00181198, Systemstep: 4.76837e-05

Begin Step 85, Time: 0.00185966, Systemstep: 4.76837e-05

Begin Step 86, Time: 0.00190735, Systemstep: 4.76837e-05

Begin Step 87, Time: 0.00195503, Systemstep: 4.76837e-05

Begin Step 88, Time: 0.00200272, Systemstep: 4.76837e-05

Begin Step 89, Time: 0.0020504, Systemstep: 4.76837e-05

Begin Step 90, Time: 0.00209808, Systemstep: 4.76837e-05

Begin Step 91, Time: 0.00214577, Systemstep: 4.76837e-05

Begin Step 92, Time: 0.00219345, Systemstep: 4.76837e-05

Begin Step 93, Time: 0.00224113, Systemstep: 4.76837e-05

Begin Step 94, Time: 0.00228882, Systemstep: 4.76837e-05

Begin Step 95, Time: 0.0023365, Systemstep: 4.76837e-05

Begin Step 96, Time: 0.00238419, Systemstep: 4.76837e-05

Begin Step 97, Time: 0.00243187, Systemstep: 4.76837e-05

Begin Step 98, Time: 0.00247955, Systemstep: 4.76837e-05

Begin Step 99, Time: 0.00252724, Systemstep: 4.76837e-05

Begin Step 100, Time: 0.00257492, Systemstep: 4.76837e-05

Begin Step 101, Time: 0.0026226, Systemstep: 4.76837e-05

Begin Step 102, Time: 0.00267029, Systemstep: 4.76837e-05

Begin Step 103, Time: 0.00271797, Systemstep: 4.76837e-05

Begin Step 104, Time: 0.00276566, Systemstep: 4.76837e-05

Begin Step 105, Time: 0.00281334, Systemstep: 4.76837e-05

Begin Step 106, Time: 0.00286102, Systemstep: 4.76837e-05

Begin Step 107, Time: 0.00295639, Systemstep: 9.53674e-05

Begin Step 108, Time: 0.00305176, Systemstep: 9.53674e-05

Begin Step 109, Time: 0.00314713, Systemstep: 9.53674e-05

Begin Step 110, Time: 0.00324249, Systemstep: 9.53674e-05

Begin Step 111, Time: 0.00333786, Systemstep: 9.53674e-05

