# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 5000, total mass: 10000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.0,0,1.87629e-17
1.0,0,8.62752e-18
2.0,0,8.66909e-18
3.0,0,8.64141e-18
4.0,0,8.70151e-18
5.0,0,8.84412e-18
6.0,0,8.93640e-18
7.0,0,9.05285e-18
8.0,0,9.12525e-18
9.0,0,9.26102e-18
10.0,0,9.30988e-18
11.0,0,9.41884e-18
12.0,0,9.44143e-18
13.0,0,9.51591e-18
14.0,0,9.51490e-18
15.0,0,9.55030e-18
16.0,0,9.57432e-18
17.0,0,9.54868e-18
18.0,0,9.60061e-18
19.0,0,9.57695e-18
20.0,0,9.57856e-18
21.0,0,9.58439e-18
22.0,0,9.59089e-18
23.0,0,9.61142e-18
24.0,0,9.61074e-18
25.0,0,9.62915e-18
26.0,0,9.62602e-18
27.0,0,9.64030e-18
28.0,0,9.64149e-18
29.0,0,9.66608e-18
30.0,0,9.68597e-18
31.0,0,9.69764e-18
32.0,0,9.72668e-18
33.0,0,9.73781e-18
34.0,0,9.74700e-18
35.0,0,9.75643e-18
36.0,0,9.76141e-18
37.0,0,9.76102e-18
38.0,0,9.76918e-18
39.0,0,9.78556e-18
40.0,0,9.78745e-18
41.0,0,9.79109e-18
42.0,0,9.79611e-18
43.0,0,9.79747e-18
44.0,0,9.79847e-18
45.0,0,9.81070e-18
46.0,0,9.82124e-18
47.0,0,9.82476e-18
48.0,0,9.83074e-18
49.0,0,9.83328e-18
50.0,0,9.82407e-18
51.0,0,9.82084e-18
52.0,0,9.82388e-18
53.0,0,9.83496e-18
54.0,0,9.85120e-18
55.0,0,9.86389e-18
56.0,0,9.90975e-18
57.0,0,1.19791e-17
58.0,0,1.18663e-17
59.0,0,1.01459e-17
60.0,0,9.20135e-18
61.0,0,8.79069e-18
62.0,0,8.65743e-18
63.0,0,8.75994e-18
64.0,0,8.91583e-18
65.0,0,9.05694e-18
66.0,0,9.15235e-18
67.0,0,9.24704e-18
68.0,0,9.27154e-18
69.0,0,9.31048e-18
70.0,0,9.33961e-18
71.0,0,9.31378e-18
72.0,0,9.30233e-18
73.0,0,9.29537e-18
74.0,0,9.29594e-18
75.0,0,9.29890e-18
76.0,0,9.30688e-18
77.0,0,9.38427e-18
78.0,0,9.43799e-18
79.0,0,9.45688e-18
80.0,0,9.45944e-18
81.0,0,9.46525e-18
82.0,0,9.44195e-18
83.0,0,9.44860e-18
84.0,0,9.49910e-18
85.0,0,9.44963e-18
86.0,0,9.41896e-18
87.0,0,9.42678e-18
88.0,0,9.45456e-18
89.0,0,9.45553e-18
90.0,0,9.47335e-18
91.0,0,9.47295e-18
92.0,0,9.52161e-18
93.0,0,9.49598e-18
94.0,0,9.50072e-18
95.0,0,9.48780e-18
96.0,0,9.50013e-18
97.0,0,9.49621e-18
98.0,0,9.50466e-18
99.0,0,9.49535e-18
100.0,0,9.49543e-18
101.0,0,9.54966e-18
102.0,0,9.51571e-18
103.0,0,9.51047e-18
104.0,0,9.51064e-18
105.0,0,9.49736e-18
106.0,0,9.52331e-18
107.0,0,9.51918e-18
108.0,0,9.53767e-18
109.0,0,9.58560e-18
110.0,0,9.56905e-18
111.0,0,9.54816e-18
112.0,0,9.54493e-18
113.0,0,9.50935e-18
114.0,0,9.51137e-18
115.0,0,9.51461e-18
116.0,0,9.51436e-18
117.0,0,9.58035e-18
118.0,0,9.54518e-18
119.0,0,9.54677e-18
120.0,0,9.54761e-18
