# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 20000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [50, 50, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.0,0,3.12554e-17
0.2,0,8.65068e-18
0.4,0,9.55545e-18
0.6,0,8.65168e-18
0.8,0,8.68260e-18
1.0,0,8.39779e-18
1.2,0,8.81648e-18
1.4,0,8.76017e-18
1.6,0,8.72287e-18
1.8,0,8.75045e-18
2.0,0,8.90737e-18
2.2,0,8.96807e-18
2.4,0,8.97766e-18
2.6,0,9.12485e-18
2.8,0,9.29277e-18
3.0,0,9.50088e-18
3.2,0,9.51675e-18
3.4,0,9.39575e-18
3.6,0,9.34380e-18
3.8,0,9.35417e-18
4.0,0,1.04786e-17
4.2,0,1.17761e-17
4.4,0,1.16428e-17
4.6,0,1.13351e-17
4.8,0,1.10526e-17
5.0,0,1.08572e-17
5.2,0,1.06839e-17
5.4,0,1.05764e-17
5.6,0,1.05030e-17
5.8,0,1.04616e-17
6.0,0,1.03688e-17
6.2,0,1.02565e-17
6.4,0,1.01355e-17
6.6,0,1.00518e-17
6.8,0,1.00348e-17
7.0,0,1.00360e-17
7.2,0,1.00078e-17
7.4,0,9.98033e-18
7.6,0,9.98764e-18
7.8,0,1.00210e-17
8.0,0,1.00482e-17
8.2,0,1.01013e-17
8.4,0,1.01658e-17
8.6,0,1.01996e-17
8.8,0,1.02154e-17
9.0,0,1.02142e-17
9.2,0,1.02174e-17
9.4,0,1.02189e-17
9.6,0,1.02160e-17
9.8,0,1.02256e-17
10.0,0,1.02452e-17
10.2,0,1.02647e-17
10.4,0,1.02976e-17
10.6,0,1.03353e-17
10.8,0,1.03737e-17
11.0,0,1.04070e-17
11.2,0,1.04420e-17
11.4,0,1.04707e-17
11.6,0,1.04893e-17
11.8,0,1.05081e-17
12.0,0,1.05217e-17
12.2,0,1.05409e-17
12.4,0,1.05683e-17
12.6,0,1.05884e-17
12.8,0,1.06036e-17
13.0,0,1.06130e-17
13.2,0,1.06215e-17
13.4,0,1.06262e-17
13.6,0,1.06379e-17
13.8,0,1.06558e-17
14.0,0,1.06759e-17
14.2,0,1.06893e-17
14.4,0,1.06978e-17
14.6,0,1.06972e-17
14.8,0,1.06884e-17
15.0,0,1.06758e-17
