# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 124999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 20000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 2.66053e-17 kg/m^3
0.0,12,2.39240e-17
1.0,12,9.97811e-18
2.0,12,1.00438e-17
3.0,12,1.05225e-17
4.0,12,1.08834e-17
5.0,12,1.12005e-17
6.0,12,1.13028e-17
7.0,12,1.13002e-17
8.0,12,1.13311e-17
9.0,12,1.13491e-17
10.0,12,1.14281e-17
11.0,12,1.15185e-17
12.0,12,1.16493e-17
13.0,12,1.16886e-17
14.0,12,1.16808e-17
15.0,12,1.17055e-17
16.0,12,1.17665e-17
17.0,12,1.17743e-17
18.0,12,1.17724e-17
19.0,12,1.18299e-17
20.0,12,1.18646e-17
21.0,12,1.19120e-17
22.0,12,1.18463e-17
23.0,12,1.18746e-17
24.0,12,1.18835e-17
25.0,12,1.19661e-17
26.0,12,1.19632e-17
27.0,12,1.19236e-17
28.0,12,1.19222e-17
29.0,12,1.19239e-17
30.0,12,1.19414e-17
31.0,12,1.19671e-17
32.0,12,1.19984e-17
33.0,12,1.19940e-17
34.0,12,1.20495e-17
35.0,12,1.20424e-17
36.0,12,1.20491e-17
37.0,12,1.20414e-17
38.0,12,1.20769e-17
39.0,12,1.21090e-17
40.0,12,1.21332e-17
41.0,12,1.21383e-17
42.0,12,1.21330e-17
43.0,12,1.21302e-17
44.0,12,1.21253e-17
45.0,12,1.21178e-17
46.0,12,1.21153e-17
47.0,12,1.21106e-17
48.0,12,1.21323e-17
49.0,12,1.21611e-17
50.0,12,1.21906e-17
51.0,12,1.22163e-17
52.0,12,1.22166e-17
53.0,12,1.22264e-17
54.0,12,1.31664e-17
55.0,12,2.82589e-17
56.0,33,2.72829e-17
57.0,41,8.76000e-18
58.0,41,8.19027e-18
59.0,41,8.36835e-18
60.0,41,8.83564e-18
61.0,41,9.18564e-18
62.0,41,9.46796e-18
63.0,41,9.61820e-18
64.0,41,9.59578e-18
65.0,41,9.64159e-18
66.0,41,9.67723e-18
67.0,41,9.64098e-18
68.0,41,9.78150e-18
69.0,41,9.84629e-18
70.0,41,1.71824e-17
71.0,41,1.07074e-17
72.0,41,8.63654e-18
73.0,41,8.88015e-18
74.0,41,1.52976e-17
75.0,41,1.13597e-17
76.0,41,1.19464e-17
77.0,41,1.41214e-17
78.0,41,1.37428e-17
79.0,41,1.42941e-17
80.0,41,1.55490e-17
81.0,41,1.47591e-17
