# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 20000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3.8284, 1.8284, 0.0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.0,0,3.12554e-17
1.0,0,8.39780e-18
2.0,0,8.90729e-18
3.0,0,9.50045e-18
4.0,0,9.41644e-18
5.0,0,9.62180e-18
6.0,0,9.87650e-18
7.0,0,9.99784e-18
8.0,0,1.00927e-17
9.0,0,1.03028e-17
10.0,0,1.04094e-17
11.0,0,1.05519e-17
12.0,0,1.06631e-17
13.0,0,1.07471e-17
14.0,0,1.06791e-17
15.0,0,1.06501e-17
16.0,0,1.07013e-17
17.0,0,1.06812e-17
18.0,0,1.07057e-17
19.0,0,1.07320e-17
20.0,0,1.07680e-17
21.0,0,1.08144e-17
22.0,0,1.08273e-17
23.0,0,1.08402e-17
24.0,0,1.08976e-17
25.0,0,1.09379e-17
26.0,0,1.09412e-17
27.0,0,1.09576e-17
28.0,0,1.09799e-17
29.0,0,1.09960e-17
30.0,0,1.09979e-17
31.0,0,1.10002e-17
32.0,0,1.09997e-17
33.0,0,1.09880e-17
34.0,0,1.09990e-17
35.0,0,1.10254e-17
36.0,0,1.10239e-17
37.0,0,1.10256e-17
38.0,0,1.10364e-17
39.0,0,1.10351e-17
40.0,0,1.10522e-17
41.0,0,1.10527e-17
42.0,0,1.10429e-17
43.0,0,1.10150e-17
44.0,0,1.09976e-17
45.0,0,1.10051e-17
46.0,0,1.10019e-17
47.0,0,1.09981e-17
48.0,0,1.10000e-17
49.0,0,1.10009e-17
50.0,0,1.09947e-17
51.0,0,1.09818e-17
52.0,0,1.09766e-17
53.0,0,1.09679e-17
54.0,0,1.09683e-17
55.0,0,1.09803e-17
56.0,0,1.09843e-17
57.0,0,1.09859e-17
58.0,0,1.09794e-17
59.0,0,1.09754e-17
60.0,0,1.09608e-17
61.0,0,1.09395e-17
62.0,0,1.09197e-17
63.0,0,1.09066e-17
64.0,0,1.08871e-17
65.0,0,1.08995e-17
66.0,0,1.09069e-17
67.0,0,1.09096e-17
68.0,0,1.09229e-17
69.0,0,1.09260e-17
70.0,0,1.09367e-17
71.0,0,1.09385e-17
72.0,0,1.09375e-17
73.0,0,1.09445e-17
74.0,0,1.09421e-17
75.0,0,1.09527e-17
76.0,0,1.09575e-17
77.0,0,1.09541e-17
78.0,0,1.09504e-17
79.0,0,1.09316e-17
80.0,0,1.09206e-17
81.0,0,1.09182e-17
82.0,0,1.09242e-17
83.0,0,1.09297e-17
84.0,0,1.09399e-17
85.0,0,1.09489e-17
86.0,0,1.09495e-17
87.0,0,1.09525e-17
88.0,0,1.09622e-17
89.0,0,1.09710e-17
90.0,0,1.09765e-17
91.0,0,1.09732e-17
92.0,0,1.09718e-17
93.0,0,1.09785e-17
94.0,0,1.09860e-17
95.0,0,1.09951e-17
96.0,0,1.09912e-17
97.0,0,1.09915e-17
98.0,0,1.09971e-17
99.0,0,1.09909e-17
100.0,0,1.09941e-17
