# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 100000, total mass: 199999 MSun, virial radius: 50 pc;
# Cluster: number of stars: 5000, total mass: 10000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.29497e-17 kg/m^3
0.0,0,2.58565e-20
1.0,0,8.19483e-20
2.0,0,9.15625e-20
3.0,0,1.06615e-19
4.0,0,8.77142e-20
5.0,0,8.93479e-20
6.0,0,8.85090e-20
7.0,0,1.00263e-19
8.0,0,9.85216e-20
9.0,0,1.08648e-19
10.0,0,9.09837e-20
11.0,0,7.92568e-20
12.0,0,6.50931e-20
13.0,0,5.08831e-20
14.0,0,4.21617e-20
15.0,0,3.89141e-20
16.0,0,3.41524e-20
17.0,0,2.73513e-20
18.0,0,2.31344e-20
19.0,0,2.01124e-20
20.0,0,1.74516e-20
21.0,0,1.63020e-20
22.0,0,1.56130e-20
23.0,0,1.52293e-20
24.0,0,1.42138e-20
25.0,0,1.29286e-20
26.0,0,1.11997e-20
27.0,0,9.82588e-21
28.0,0,9.03074e-21
29.0,0,8.35823e-21
30.0,0,7.96954e-21
31.0,0,7.50544e-21
32.0,0,7.00111e-21
33.0,0,6.68452e-21
34.0,0,6.33172e-21
35.0,0,6.00609e-21
36.0,0,5.60844e-21
37.0,0,5.43083e-21
38.0,0,5.19079e-21
39.0,0,4.90406e-21
40.0,0,4.60024e-21
41.0,0,4.30329e-21
42.0,0,4.03776e-21
43.0,0,3.87585e-21
44.0,0,3.73430e-21
45.0,0,3.60747e-21
46.0,0,3.49149e-21
47.0,0,3.42802e-21
48.0,0,4.01160e-21
49.0,0,4.47753e-21
50.0,0,4.27987e-21
51.0,0,5.35409e-21
52.0,0,5.41707e-21
53.0,0,5.44466e-21
54.0,0,5.80746e-21
55.0,0,5.98702e-21
56.0,0,6.60234e-21
57.0,0,6.57228e-21
58.0,0,6.74591e-21
59.0,0,7.05412e-21
60.0,0,6.76567e-21
61.0,0,5.91889e-21
62.0,0,5.00454e-21
63.0,0,5.16917e-21
64.0,0,4.71136e-21
65.0,0,4.18507e-21
66.0,0,3.79581e-21
67.0,0,3.71791e-21
68.0,0,4.07143e-21
69.0,0,4.54062e-21
70.0,0,4.23425e-21
71.0,0,4.15565e-21
72.0,0,4.01843e-21
73.0,0,3.43761e-21
74.0,0,3.21980e-21
75.0,0,3.20929e-21
76.0,0,3.13999e-21
77.0,0,2.96027e-21
78.0,0,2.83976e-21
79.0,0,2.77280e-21
80.0,0,2.68507e-21
81.0,0,2.57942e-21
82.0,0,2.50021e-21
83.0,0,2.51292e-21
84.0,0,2.45966e-21
85.0,0,2.38771e-21
86.0,0,2.34546e-21
87.0,0,2.28376e-21
88.0,0,2.23532e-21
89.0,0,2.18466e-21
90.0,0,2.11970e-21
91.0,0,2.09906e-21
92.0,0,2.06832e-21
93.0,0,2.01221e-21
94.0,0,1.98828e-21
95.0,0,1.98267e-21
96.0,0,1.95944e-21
97.0,0,1.91816e-21
98.0,0,1.86057e-21
99.0,0,1.81505e-21
100.0,0,1.82464e-21
